,precision,recall,f1-score,support
Apis mellifera,0.9268817204301075,0.6580152671755726,0.7696428571428572,655.0
Vanessa atalanta,0.8304093567251462,0.9161290322580645,0.8711656441717791,310.0
Harmonia axyridis,0.8661710037174721,0.8759398496240601,0.8710280373831776,266.0
Pieris rapae,0.9149797570850202,0.8625954198473282,0.888015717092338,262.0
Coccinella septempunctata,0.9028571428571428,0.8315789473684211,0.8657534246575342,190.0
Vanessa cardui,0.9398496240601504,0.7352941176470589,0.8250825082508251,170.0
Nymphalis antiopa,0.7401574803149606,0.8785046728971962,0.8034188034188035,107.0
Other,0.8444333996023857,0.9386740331491713,0.8890633176347462,1810.0
accuracy,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8620689655172413
macro avg,0.8707174355990481,0.8370914174958591,0.8478962887190076,3770.0
weighted avg,0.8683287023126632,0.8620689655172413,0.8590075837974045,3770.0
