sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Apis mellifera,prob_Vanessa atalanta,prob_Harmonia axyridis,prob_Pieris rapae,prob_Coccinella septempunctata,prob_Vanessa cardui,prob_Nymphalis antiopa,prob_Other,confidence_margin
9,0,Apis mellifera,7,Other,0,0.10685537,0.00065577216,6.6835955e-06,3.7547947e-05,3.1073603e-06,0.00055520464,1.0619234e-05,0.8918757,0.7850203141570091
17,0,Apis mellifera,4,Coccinella septempunctata,0,0.0354029,4.2796382e-06,0.12869054,0.0045895153,0.74410915,7.4031605e-06,4.8518527e-06,0.08719141,0.7087062522768974
20,7,Other,0,Apis mellifera,0,0.9994585,9.692071e-09,0.0004971429,7.299335e-06,2.3054479e-07,6.780669e-08,2.6321156e-09,3.6811984e-05,0.9994216798186244
27,1,Vanessa atalanta,6,Nymphalis antiopa,0,0.0007686465,0.070582815,1.1457183e-06,0.00018549818,1.6560052e-05,0.00019047102,0.81964254,0.10861223,0.7490597292780876
42,7,Other,6,Nymphalis antiopa,0,1.3871665e-05,0.03491741,0.0014608691,1.3370984e-05,0.0036886237,0.000710382,0.8797105,0.079485014,0.8002254813909531
43,0,Apis mellifera,7,Other,0,0.16424766,2.164624e-07,1.00987435e-07,4.6483772e-09,8.0512245e-07,0.000103572806,8.38802e-07,0.8356468,0.6713991463184357
60,0,Apis mellifera,7,Other,0,0.06689707,0.0015877741,8.486015e-08,0.00020076898,0.0001626193,0.0075412476,0.0009045937,0.9227059,0.8558088168501854
61,0,Apis mellifera,7,Other,0,0.30609587,0.0012019551,8.662747e-05,9.0596295e-06,5.7175956e-05,2.8378992e-05,0.008579028,0.68394196,0.3778460919857025
70,4,Coccinella septempunctata,7,Other,0,4.9555002e-08,5.162664e-08,4.505868e-08,1.9040284e-07,0.0052924547,6.9242684e-05,8.207897e-08,0.9946378,0.9893453326076269
85,0,Apis mellifera,7,Other,0,0.019852057,1.1149302e-07,2.2379815e-10,3.6358433e-08,1.6684335e-09,7.439843e-07,4.967045e-10,0.98014706,0.9602950066328049
87,0,Apis mellifera,7,Other,0,0.25650704,1.0630565e-05,5.125789e-09,2.055231e-06,5.139003e-06,7.967599e-06,1.1093011e-06,0.743466,0.48695898056030273
97,0,Apis mellifera,7,Other,0,0.044966657,2.4757003e-07,9.476464e-11,1.2977049e-10,1.9304103e-09,3.8590736e-07,1.2800353e-09,0.9550327,0.9100660495460033
108,5,Vanessa cardui,7,Other,0,0.0002343991,5.2428353e-05,5.1174663e-08,0.024160055,4.451113e-08,0.0007526477,0.10102145,0.87377894,0.8730262915487401
113,4,Coccinella septempunctata,7,Other,0,0.22459538,0.0011171446,8.937992e-05,0.2478388,0.0030737845,0.18220961,0.0020663443,0.33900955,0.3359357686713338
