sample_id,true_label,true_class,predicted_label,predicted_class,correct,prob_Apis mellifera,prob_Vanessa atalanta,prob_Harmonia axyridis,prob_Pieris rapae,prob_Coccinella septempunctata,prob_Vanessa cardui,prob_Nymphalis antiopa,prob_Other
0,6,Nymphalis antiopa,6,Nymphalis antiopa,1,0.00012245735,0.00032710613,1.4004044e-10,0.0001601979,4.0895404e-08,6.7638925e-05,0.99917716,0.0001454912
1,0,Apis mellifera,0,Apis mellifera,1,0.9999969,1.1863205e-07,2.7276914e-10,4.334121e-08,3.3984745e-07,1.7065558e-07,9.094646e-08,2.3927234e-06
2,2,Harmonia axyridis,2,Harmonia axyridis,1,2.5767308e-11,6.257554e-11,0.9999976,1.6944429e-07,2.246493e-06,5.620534e-11,7.825869e-09,3.743232e-08
3,7,Other,7,Other,1,0.0006042205,1.9688653e-06,3.711148e-07,5.0579083e-06,4.280185e-06,4.5585844e-06,4.1996867e-07,0.99937904
4,3,Pieris rapae,3,Pieris rapae,1,2.8892012e-07,7.480608e-07,2.4710138e-08,0.87338084,2.6837522e-06,3.9467338e-08,3.2501937e-06,0.12661219
5,0,Apis mellifera,0,Apis mellifera,1,0.9502473,1.230449e-06,4.199766e-06,1.5578507e-05,5.979161e-06,7.0469235e-07,4.2512287e-08,0.04972495
6,7,Other,7,Other,1,3.7113426e-09,5.4269126e-08,4.590847e-06,1.4706219e-08,0.00031620928,1.8670034e-08,1.5926493e-05,0.9996631
7,7,Other,7,Other,1,1.8245591e-05,9.800342e-05,1.32929135e-05,1.4903125e-07,1.0203453e-06,4.18897e-09,2.4383883e-07,0.999869
8,0,Apis mellifera,0,Apis mellifera,1,0.915691,0.07844456,7.474329e-05,7.9679914e-05,1.2119045e-08,3.0392623e-05,0.005171291,0.000508265
9,0,Apis mellifera,7,Other,0,0.10685537,0.00065577216,6.6835955e-06,3.7547947e-05,3.1073603e-06,0.00055520464,1.0619234e-05,0.8918757
10,7,Other,7,Other,1,9.403777e-12,2.2438945e-10,1.2078265e-10,5.5798834e-11,5.012863e-11,4.183045e-12,4.895004e-11,1.0
11,7,Other,7,Other,1,1.9504958e-05,5.9330278e-06,3.0588808e-07,1.674699e-08,3.329741e-07,3.63237e-08,1.4283046e-06,0.99997246
12,7,Other,7,Other,1,5.048345e-15,1.0152791e-11,1.5471875e-09,2.949598e-11,9.595972e-14,1.8076882e-11,5.659244e-10,1.0
13,7,Other,7,Other,1,3.4069683e-10,1.6961267e-05,1.6662092e-08,2.6991509e-05,7.5504385e-09,3.280812e-08,4.6586e-08,0.999956
14,4,Coccinella septempunctata,4,Coccinella septempunctata,1,7.761385e-05,1.459269e-06,0.0031457886,2.3875543e-07,0.9967699,5.5675594e-07,3.2908415e-06,1.1605861e-06
15,7,Other,7,Other,1,0.023164613,0.44088936,0.01933755,0.00030421908,0.023229487,0.00076987135,0.0053049284,0.48699987
16,7,Other,7,Other,1,9.01381e-10,1.4965038e-11,4.3678124e-11,1.8563301e-10,1.0584422e-09,1.5789131e-09,6.1853357e-12,1.0
17,0,Apis mellifera,4,Coccinella septempunctata,0,0.0354029,4.2796382e-06,0.12869054,0.0045895153,0.74410915,7.4031605e-06,4.8518527e-06,0.08719141
18,0,Apis mellifera,0,Apis mellifera,1,0.7029216,5.5055967e-08,8.292852e-10,4.064349e-06,1.5614081e-05,1.5139583e-06,7.2399104e-08,0.29705697
19,7,Other,7,Other,1,1.5478058e-11,1.053718e-10,1.2000478e-08,2.769664e-12,1.792311e-11,1.8158048e-08,8.5443104e-11,1.0
20,7,Other,0,Apis mellifera,0,0.9994585,9.692071e-09,0.0004971429,7.299335e-06,2.3054479e-07,6.780669e-08,2.6321156e-09,3.6811984e-05
21,7,Other,7,Other,1,5.157716e-09,3.80434e-08,8.712434e-06,3.988432e-06,8.710984e-05,4.4386853e-10,2.9910012e-09,0.9999001
22,7,Other,7,Other,1,1.5542499e-10,1.2780181e-10,4.9309925e-09,3.846719e-09,2.1012971e-09,1.5717844e-11,7.8335893e-10,1.0
